               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026808,             0.04388,           0.0072005,             0.93842,             0.98042,             0.98332,             0.78594,            0.012146,            0.012573,           0.0028852,             0.00406,             0.00406,             0.00406
                  38,            0.027098,             0.04361,           0.0070092,             0.94096,             0.97779,             0.98724,             0.79023,            0.012542,            0.013139,           0.0022108,            0.003895,            0.003895,            0.003895
                  39,            0.027096,            0.046169,            0.006373,             0.94656,             0.97628,             0.98881,             0.80408,            0.011195,            0.012763,           0.0020229,             0.00373,             0.00373,             0.00373
                  40,            0.026378,            0.044845,           0.0065941,             0.94169,             0.98127,             0.98665,              0.8185,            0.010819,            0.012223,           0.0020876,            0.003565,            0.003565,            0.003565
                  41,            0.025974,            0.046518,           0.0066961,             0.93165,             0.97532,             0.98537,             0.78817,            0.011666,             0.01224,           0.0023256,              0.0034,              0.0034,              0.0034
                  42,            0.025985,            0.043428,           0.0054082,             0.91424,             0.96735,             0.98015,             0.78776,            0.010874,            0.012441,            0.003737,            0.003235,            0.003235,            0.003235
                  43,            0.025354,            0.042283,           0.0058152,             0.92601,             0.95722,             0.98644,             0.79819,            0.010998,            0.012323,           0.0049884,             0.00307,             0.00307,             0.00307
                  44,            0.025128,            0.043965,           0.0073758,             0.93087,             0.96228,             0.98804,             0.82173,            0.010229,            0.012124,           0.0035919,            0.002905,            0.002905,            0.002905
                  45,            0.025558,            0.043742,           0.0070867,             0.93795,             0.97952,               0.989,             0.82822,             0.01022,            0.012091,           0.0018315,             0.00274,             0.00274,             0.00274
                  46,             0.02458,            0.044863,           0.0056368,             0.94621,             0.97612,             0.98419,             0.81092,           0.0097208,            0.012089,           0.0017081,            0.002575,            0.002575,            0.002575
                  47,            0.024676,            0.042582,           0.0059177,             0.93556,             0.98046,             0.98694,             0.81216,           0.0096339,            0.012323,           0.0019313,             0.00241,             0.00241,             0.00241
                  48,            0.024404,            0.044698,           0.0056684,             0.92366,             0.96337,             0.98458,             0.80517,           0.0096404,            0.012354,           0.0044155,            0.002245,            0.002245,            0.002245
                  49,            0.023905,            0.043465,            0.005706,              0.9278,             0.95587,             0.97591,             0.79661,           0.0096362,            0.012635,           0.0045018,             0.00208,             0.00208,             0.00208
                  50,            0.024101,             0.04288,           0.0063717,             0.93306,              0.9823,             0.97886,             0.80866,           0.0098184,              0.0129,           0.0019819,            0.001915,            0.001915,            0.001915
                  51,             0.02419,            0.042876,           0.0047025,             0.93476,             0.96991,             0.98656,             0.80674,           0.0096481,            0.012745,           0.0021228,             0.00175,             0.00175,             0.00175
                  52,            0.023415,            0.044467,           0.0044208,             0.92175,             0.96462,             0.98256,             0.80806,           0.0099869,             0.01287,           0.0027186,            0.001585,            0.001585,            0.001585
                  53,             0.02365,            0.042897,           0.0046048,             0.93207,             0.96117,             0.97917,             0.81036,           0.0097049,            0.012723,           0.0019321,             0.00142,             0.00142,             0.00142
                  54,            0.023846,            0.043555,           0.0047683,             0.92579,             0.97074,             0.98249,             0.81892,           0.0094543,            0.012532,           0.0017302,            0.001255,            0.001255,            0.001255
                  55,            0.023334,            0.042414,           0.0052304,             0.91323,             0.96591,             0.98812,             0.81644,           0.0091989,            0.012358,            0.002489,             0.00109,             0.00109,             0.00109
                  56,            0.023882,            0.043079,           0.0048789,             0.91383,             0.95961,              0.9819,              0.8172,           0.0091995,            0.012196,           0.0044774,            0.000925,            0.000925,            0.000925
                  57,            0.023071,            0.043387,           0.0053979,             0.91366,             0.96398,             0.98303,             0.81577,           0.0091067,            0.012254,           0.0037544,             0.00076,             0.00076,             0.00076
                  58,            0.024246,            0.043853,           0.0051233,             0.91839,             0.96808,              0.9871,             0.81714,           0.0091053,            0.012481,            0.003175,            0.000595,            0.000595,            0.000595
                  59,             0.02326,            0.041594,           0.0049277,             0.92106,             0.96772,             0.98683,             0.82275,           0.0090799,            0.012455,           0.0028125,             0.00043,             0.00043,             0.00043
